EXW 10110 CELLES SUR OURCE,,,,,,,,,
Web,https://champagne-vaucelle.fr,,,,,,,,
Price list,https://drive.google.com/file/d/1bxAQD1jWcYgDxDRLjCz9eu8DPmoruodV/view?usp=drive_link,,,,,,,,
,,,,,,,,,
,,,,,,,Customer Price,Margin,
Vaucelle,Champagne,Sparkling,Rosé,Cuvée Rosé – Le Suchot,750 ml,15.50€,18.00€,2.50€,16.13%
Vaucelle,Champagne,Sparkling,Blanc de Blancs,Cuvée Terre Nacrée (Blanc de Blancs),750 ml,16.70€,19.50€,2.80€,16.77%
Vaucelle,Champagne,Sparkling,Blanc de Noirs,Cuvée Terre Natale (Blanc de Noirs),750 ml,19.40€,22.70€,3.30€,16.77%
Vaucelle,Champagne,Sparkling,,Cuvée Les Vallons,750 ml,19.40€,22.70€,3.30€,16.77%
Vaucelle,Champagne,Sparkling,,Cuvée Ambassadeurs,750 ml,23.00€,26.90€,3.90€,16.77%
Vaucelle,Champagne,Sparkling,,Cuvée Éphémère “Terre de Nuances”,750 ml,35.25€,41.30€,6.00€,16.77%
Vaucelle,Bourgogne,White,Santenay,Santenay Blanc,750 ml,30.85€,36.10€,5.20€,16.77%
Vaucelle,Bourgogne,Red,Santenay,Santenay Rouge,750 ml,29.15€,34.10€,4.90€,16.77%
Vaucelle,Bourgogne,White,Chassagne-Montrachet Blanc,Chassagne-Montrachet Blanc,750 ml,18.35€,21.50€,3.10€,16.77%
Vaucelle,Bourgogne,Red,Chassagne-Montrachet Rouge,Chassagne-Montrachet Rouge,750 ml,15.00€,17.60€,2.60€,16.77%